No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
139,,E451,SR01,Main Store,4400045797,"TYRE,TRAKTOR,9.5-16 CANGKUL",PCS,8,,,,"18,000,000"
140,,E451,SR01,Main Store,4400045802,"TUBE,TRACTOR,9.5-16",PCS,8,,,,"1,712,615"
141,,E451,SR01,Main Store,4400053629,"MITS,PS125,LINING KIT MK 449267",PCS,8,,,,"1,720,000"
142,,E451,SR01,Main Store,4400000004,"MEC,ACCU,BATTERY 12V N  50AH GS",PCS,7,,,,"6,300,000"
143,,E451,SR01,Main Store,4400002015,"MITS,PS120,CYL ASSY CLCH MSTR MB334438",PCS,7,,,,"1,645,000"
144,,E451,SR01,Main Store,4400004285,"MITS,PS120,LEAF SPRING FR NO 6",PCS,7,,,,"521,769"
145,,E451,SR01,Main Store,4400012207,"MITS,PS120,TIE ROD ASSY LH/RH MW 033300",PCS,7,,,,"2,065,000"
146,,E451,SR01,Main Store,4400012847,"MITS,PS120,LEAF FR SPRING NO.1 48101-253",PCS,7,,,,"3,614,215"
147,,E451,SR01,Main Store,4400028979,"MITS,PS125,HUB RR WHEEL MK 503561",PCS,7,,,,"5,468,750"
148,,E451,SR01,Main Store,4400050158,"MEC,TYRES,TIRE 14.9-28",PCS,7,,,,"33,663,000"
149,,E451,SR01,Main Store,4400000068,"MEC,GNRL M,CAT MINYAK",KG,6,,,,"524,433"
150,,E451,SR01,Main Store,4400003616,"MITS,PS120,LEAF SPRING FR NO 3",PCS,6,,,,"1,548,000"
151,,E451,SR01,Main Store,4400003617,"MITS,PS120,LEAF SPRING FR NO 4",PCS,6,,,,"1,116,000"
152,,E451,SR01,Main Store,4400006979,"FORD,6640,RIM ASSY 82003921",PCS,6,,,,"22,209,000"
153,,E451,SR01,Main Store,4400012850,"MITS,PS120,LEAF RR SPRING NO.2 48202-255",PCS,6,,,,"2,190,000"
154,,E451,SR01,Main Store,4400013033,"MITS,PS120,KING PEN TRUST WSHR MB 025388",PCS,6,,,,"2,700,000"
155,,E451,SR01,Main Store,4400013231,"MITS,PS120,LEAF RR SUSP SPRING MB 035146",PCS,6,,,,"1,860,000"
156,,E451,SR01,Main Store,4400013617,"MITS,PS120,CYL ASSY BRAKE MSTR MC 82100",PCS,6,,,,"4,050,000"
157,,E451,SR01,Main Store,4400040993,"MITS,PS125,DRUM BRAKE MK 428025",PCS,6,,,,"5,100,000"
158,,E451,SR01,Main Store,4400045621,"FLAP,TRACTOR,13.00-24",PCS,6,,,,"2,250,000"
159,,E451,SR01,Main Store,1600003649,"GEN-ST,W-MTRL,BATU GERINDA 14""",PCS,5,,,,"308,333"
160,,E451,SR01,Main Store,1600004828,"SPRAY,S-FOG,VLV BLACK CONE NOZZLE",UNI,5,,,,"347,5"
161,,E451,SR01,Main Store,1600015638,"HARVT,AXE MSN 5"" + FLAT HANDLE",PCS,5,,,,"496,696"
162,,E451,SR01,Main Store,4400000123,"MEC,GNRL M,FILTER ELEMENT 0060R10BN3HC",PCS,5,,,,700
163,,E451,SR01,Main Store,4400002042,"MITS,PS120,LEAF FR SPRNGSUS NO2 MB294215",PCS,5,,,,"1,600,000"
164,,E451,SR01,Main Store,4400003793,"MEC,HOSE,HOSE HYDRANT",ROL,5,,,,"1,000,000"
165,,E451,SR01,Main Store,4400003896,"MEC,ACCU,BATTERY  65A",PCS,5,,,,"6,000,000"
166,,E451,SR01,Main Store,4400005348,"FORD,6640,SOLENOID D7NN-11390-B",PCS,5,,,,"1,475,000"
167,,E451,SR01,Main Store,4400006407,"FORD,6640,ELEMENT OUTER 1863008",PCS,5,,,,"1,200,000"
